Vigencia_Inicio,Vigencia_Fin,Aeropuerto,Nom_Aeropuerto,Gpo_Consumo,Tipo,Tarifa,No.,Descripcion,Precio_Pemex,Descnto_Pemex,Almacenamiento_Origen,Almacenamiento_Base,Almacenamiento_Hidrante,Alm_Horario_Extraordinario,Expedio_Autotanque,Expendio _ispensador,Exp_Horario_extraordinario,Tarifa_Succion,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE
30112021,06122021,AGU,AGUASCALIENTES,GPO 02-C,2-C,Contractual,101,TURBOSINA, $14.38779 ,-$0.29600 , $-   , $0.14880 , $-   , $0.07974 , $0.28461 , $-   , $0.10483 , $0.28461 , $14.52520 , $-   , $14.70977 , $-   , $0.43341 , $-   , $0.61798 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 02-D,2-D,Contractual,101,TURBOSINA, $14.38779 ,-$0.29600 , $-   , $0.14880 , $-   , $0.07974 , $0.31859 , $-   , $0.10483 , $0.31859 , $14.55918 , $-   , $14.74375 , $-   , $0.46739 , $-   , $0.65196 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 03-A,3-A,Contractual,101,TURBOSINA, $14.38779 ,-$0.35520 , $-   , $0.14880 , $-   , $0.07974 , $0.21239 , $-   , $0.10483 , $0.21239 , $14.39378 , $-   , $14.57835 , $-   , $0.36119 , $-   , $0.54576 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 03-B,3-B,Contractual,101,TURBOSINA, $14.38779 ,-$0.35520 , $-   , $0.14880 , $-   , $0.07974 , $0.22514 , $-   , $0.10483 , $0.22514 , $14.40653 , $-   , $14.59110 , $-   , $0.37394 , $-   , $0.55851 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 03-C,3-C,Contractual,101,TURBOSINA, $14.38779 ,-$0.35520 , $-   , $0.14880 , $-   , $0.07974 , $0.28461 , $-   , $0.10483 , $0.28461 , $14.46600 , $-   , $14.65057 , $-   , $0.43341 , $-   , $0.61798 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 03-D,3-D,Contractual,101,TURBOSINA, $14.38779 ,-$0.35520 , $-   , $0.14880 , $-   , $0.07974 , $0.31859 , $-   , $0.10483 , $0.31859 , $14.49998 , $-   , $14.68455 , $-   , $0.46739 , $-   , $0.65196 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 04-A,4-A,Contractual,101,TURBOSINA, $14.38779 ,-$0.50320 , $-   , $0.14880 , $-   , $0.07974 , $0.21239 , $-   , $0.10483 , $0.21239 , $14.24578 , $-   , $14.43035 , $-   , $0.36119 , $-   , $0.54576 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 04-B,4-B,Contractual,101,TURBOSINA, $14.38779 ,-$0.50320 , $-   , $0.14880 , $-   , $0.07974 , $0.22514 , $-   , $0.10483 , $0.22514 , $14.25853 , $-   , $14.44310 , $-   , $0.37394 , $-   , $0.55851 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 04-C,4-C,Contractual,101,TURBOSINA, $14.38779 ,-$0.50320 , $-   , $0.14880 , $-   , $0.07974 , $0.28461 , $-   , $0.10483 , $0.28461 , $14.31800 , $-   , $14.50257 , $-   , $0.43341 , $-   , $0.61798 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 04-D,4-D,Contractual,101,TURBOSINA, $14.38779 ,-$0.50320 , $-   , $0.14880 , $-   , $0.07974 , $0.31859 , $-   , $0.10483 , $0.31859 , $14.35198 , $-   , $14.53655 , $-   , $0.46739 , $-   , $0.65196 , $-   
